listing_id,id,date,reviewer_name,comments
5,1538784,6/22/2012,Pascale,"The place is absolutely fabulous! Very neat and spacious and the lovely balcony & roof terrace are a definite bonus!<br/>I didn't meet Aafje in person as she was on a trip but it was really simple to communicate with her through email and sms, she's very easy going en helpful. Klaas, the upstairs neighbor, was also very accommodating in Aafje's absence.<br/>This was my first experience with Airbnb and I loved it!<br/>I definitely recommend staying at this apartment!"
5,1563008,6/25/2012,Sarah,"Beatuiful flat and well located for transport, supermarket, restaurants & bars."
5,1917340,8/7/2012,Wolfgang,"Die Wohnung hat einesehr angenehme AtmosphÃ?re, traf unseren Geschmack.Sie liegt ruhig, aber so zentral, dass wir keine FahrrÃ?der mieten mussten, sondern zu FuÃü Ã?berall hinkamen.Restaurants und EinkaufsmÃ¶glichkeiten gibts auch in unmittelbarer NÃ?he. -Der schriftliche Kontakt mit Aafje war sehr nett, wir bekamen viele gut Tips, auch die Nachbarn zeigten sich freundlich und hilfsbereit.<br/>Die Versorgung des Katers war kein Problem."
5,5254117,6/20/2013,Sarah,I decided to extend my stay in Amsterdam last minute and Aafje was kind enough to accommodate me that afternoon on very short notice for two nights. Her apartment is beautiful and spacious and just a block or so away from Vondelpark. The neighborhood was very nice  safe. Checking in and out were easy and very flexible. I would happily stay in this flat if I find myself in Amsterdam once again.
5,5303672,6/23/2013,Zhanna,"Everything was perfect! The apartment is superb, so is the location. You also get to know the wonderful cat Muis :) Best choice!"
5,8429239,10/30/2013,Mariell,"My friend and I had a lovely long weekend at Aafje's place, we didn't meet Aafje because she was on holiday but her neigbor let us in and was very helpful. The apartment is really perfect, big and clean and bright. It's right around the corner from both a grocery store and the tram. We also had lunch at Forno on the corner which was one of our best meals in Amsterdam.<br/><br/>A couple of things i wish were better was towels (we only found three towels laid out for us), a hair dryer and maybe another duvet. <br/><br/>We thought it was a lot of fun living with a cat, although I was worried about his health after he peed on my clothes. I'm not too squeamish about these things, but I know a lot of other people would be. While we were there he peed inside at least three times and I hope he wasn't stressed because of us. He really was a very sweet and cuddly cat. <br/><br/>But all in all it was really great, I would definitely book this apartment again."
5,65787945,3/17/2016,Hugh,"The apartment was very welcoming and Aafje was very responsive. The apartment is spacious and delightful and within easy biking or public transportation to all Amsterdam sites. Grocery, restaurants, and bars are only a few minutes walk. The building has a lovely rooftop terrace for warm weather, and the surrounds were quiet. This was our first experience with an AirBnB, and we couldn't have enjoyed our stay more!"
5,82710261,6/29/2016,Arnaud,"Eva heeft een zeer leuk, ruim en verlicht appartement met 2 terrasjes! De buurt is rustig en toch dichtbij een tramhalte om je te verplaatsen naar het centrum. Als je naar Amsterdam gaat is dit zeker een goede plaats om te verblijven. Eerst waren er wat complicaties omdat wij onze trip naar Amsterdam al geboekt hadden en Eva er helaas die dag niet kon zijn om ons binnen te laten. Ze heeft een goede oplossing gevonden door haar vriendin de deur te laten open doen voor ons, zij was ook perfect op tijd !"
5,86392622,7/16/2016,James,"The listing was exactly as described. The furnishings are basic but completely functional. The apartment is bright and airy, and the kitchen has everything you need. The amount of space was quite nice and more than enough for one or two persons. The two balconies and rooftop were wonderful bonuses, and Caroline and Klass, Eva's friends who greeted me for her, were very responsive and gracious. My flight was delated repeatedly, and they made sure they were available. I would definitely stay here again."
5,133032903,2/20/2017,Serafine,"We stayed at Eva's for a Long Weekend and really enjoyed her place. It is very homy and we felt welcomed. Also we came really late and the Check-In was so easy and no Problem at all, the whole communication with Eva was really easy and nice.<br/>We liked the neighborhood a lot, it's easy too reach the inner City and there are a few nice Restaurants and bars just around the Corner.<br/>I would definitely recommend Evas place. "
